CA-Qfo,,,
Year,Month,Day,snow
2008,7,25,0
2008,7,26,0
2008,7,27,0
2008,7,28,0
2008,7,29,0
2008,7,30,0
2008,7,31,0
2008,8,1,0
2008,8,2,0
2008,8,3,0
2008,8,4,0
2008,8,5,0
2008,8,6,0
2008,8,7,0
2008,8,8,0
2008,8,9,0
2008,8,10,0
2008,8,11,0
2008,8,12,0
2008,8,13,0
2008,8,14,0
2008,8,15,0
2008,8,16,0
2008,8,17,0
2008,8,18,0
2008,8,19,0
2008,8,20,0
2008,8,21,0
2008,8,22,0
2008,8,23,0
2008,8,24,0
2008,8,25,0
2008,8,26,0
2008,8,27,0
2008,8,28,0
2008,8,29,0
2008,8,30,0
2008,8,31,0
2008,9,1,0
2008,9,2,0
2008,9,3,0
2008,9,4,0
2008,9,5,0
2008,9,6,0
2008,9,7,0
2008,9,8,0
2008,9,9,0
2008,9,10,0
2008,9,11,0
2008,9,12,0
2008,9,13,0
2008,9,14,0
2008,9,15,0
2008,9,16,0
2008,9,17,0
2008,9,18,0
2008,9,19,0
2008,9,20,0
2008,9,21,0
2008,9,22,0
2008,9,23,0
2008,9,24,0
2008,9,25,0
2008,9,26,0
2008,9,27,0
2008,9,28,0
2008,9,29,0
2008,9,30,0
2008,10,1,0
2008,10,2,0
2008,10,3,0
2008,10,4,0
2008,10,5,0
2008,10,6,0
2008,10,7,0
2008,10,8,0
2008,10,9,0
2008,10,10,0
2008,10,11,0
2008,10,12,0
2008,10,13,0
2008,10,14,0
2008,10,15,0
2008,10,16,0
2008,10,17,0
2008,10,18,0
2008,10,19,0
2008,10,20,0
2008,10,21,1
2008,10,22,0
2008,10,23,0
2008,10,24,0
2008,10,25,0
2008,10,26,0
2008,10,27,0
2008,10,28,0
2008,10,29,1
2008,10,30,1
2008,10,31,1
2008,11,1,0
2008,11,2,0
2008,11,3,0
2008,11,4,0
2008,11,5,0
2008,11,6,0
2008,11,7,0
2008,11,8,0
2008,11,9,0
2008,11,10,1
2008,11,11,1
2008,11,12,1
2008,11,13,0
2008,11,14,0
2008,11,15,0
2008,11,16,1
2008,11,17,1
2008,11,18,1
2008,11,19,1
2008,11,20,1
2008,11,21,1
2008,11,22,1
2008,11,23,1
2008,11,24,1
2008,11,25,1
2008,11,26,1
2008,11,27,1
2008,11,28,1
2008,11,29,1
2008,11,30,1
2008,12,1,1
2008,12,2,1
2008,12,3,1
2008,12,4,1
2008,12,5,1
2008,12,6,1
2008,12,7,1
2008,12,8,1
2008,12,9,1
2008,12,10,1
2008,12,11,1
2008,12,12,1
2008,12,13,1
2008,12,14,1
2008,12,15,1
2008,12,16,1
2008,12,17,1
2008,12,18,1
2008,12,19,1
2008,12,20,1
2008,12,21,1
2008,12,22,1
2008,12,23,1
2008,12,24,1
2008,12,25,1
2008,12,26,1
2008,12,27,1
2008,12,28,1
2008,12,29,1
2008,12,30,1
2008,12,31,1
2009,1,1,1
2009,1,2,1
2009,1,3,1
2009,1,4,1
2009,1,5,1
2009,1,6,1
2009,1,7,1
2009,1,8,1
2009,1,9,1
2009,1,10,1
2009,1,11,1
2009,1,12,1
2009,1,13,1
2009,1,14,1
2009,1,15,1
2009,1,16,1
2009,1,17,1
2009,1,18,1
2009,1,19,1
2009,1,20,1
2009,1,21,1
2009,1,22,1
2009,1,23,1
2009,1,24,1
2009,1,25,1
2009,1,26,1
2009,1,27,1
2009,1,28,1
2009,1,29,1
2009,1,30,1
2009,1,31,1
2009,2,1,1
2009,2,2,1
2009,2,3,1
2009,2,4,1
2009,2,5,1
2009,2,6,1
2009,2,7,1
2009,2,8,1
2009,2,9,1
2009,2,10,1
2009,2,11,1
2009,2,12,1
2009,2,13,1
2009,2,14,1
2009,2,15,1
2009,2,16,1
2009,2,17,1
2009,2,18,1
2009,2,19,1
2009,2,20,1
2009,2,21,1
2009,2,22,1
2009,2,23,1
2009,2,24,1
2009,2,25,1
2009,2,26,1
2009,2,27,1
2009,2,28,1
2009,3,1,1
2009,3,2,1
2009,3,3,1
2009,3,4,1
2009,3,5,1
2009,3,6,1
2009,3,7,1
2009,3,8,1
2009,3,9,1
2009,3,10,1
2009,3,11,1
2009,3,12,1
2009,3,13,0
2009,3,14,0
2009,3,15,0
2009,3,16,0
2009,3,17,0
2009,3,18,0
2009,3,19,0
2009,3,20,0
2009,3,21,0
2009,3,22,0
2009,3,23,0
2009,3,24,0
2009,3,25,0
2009,3,26,0
2009,3,27,0
2009,3,28,0
2009,3,29,0
2009,3,30,0
2009,3,31,1
2009,4,1,0
2009,4,2,0
2009,4,3,0
2009,4,4,0
2009,4,5,0
2009,4,6,0
2009,4,7,0
2009,4,8,0
2009,4,9,0
2009,4,10,0
2009,4,11,0
2009,4,12,0
2009,4,13,0
2009,4,14,0
2009,4,15,0
2009,4,16,0
2009,4,17,0
2009,4,18,0
2009,4,19,0
2009,4,20,0
2009,4,21,0
2009,4,22,0
2009,4,23,0
2009,4,24,0
2009,4,25,0
2009,4,26,0
2009,4,27,0
2009,4,28,0
2009,4,29,0
2009,4,30,0
2009,5,1,0
2009,5,2,0
2009,5,3,0
2009,5,4,0
2009,5,5,0
2009,5,6,0
2009,5,7,0
2009,5,8,0
2009,5,9,0
2009,5,10,0
2009,5,11,0
2009,5,12,0
2009,5,13,0
2009,5,14,0
2009,5,15,0
2009,5,16,0
2009,5,17,0
2009,5,18,0
2009,5,19,0
2009,5,20,0
2009,5,21,0
2009,5,22,0
2009,5,23,0
2009,5,24,0
2009,5,25,0
2009,5,26,0
2009,5,27,0
2009,5,28,0
2009,5,29,0
2009,5,30,0
2009,5,31,0
2009,6,1,0
2009,6,2,0
2009,6,3,0
2009,6,4,0
2009,6,5,0
2009,6,6,0
2009,6,7,0
2009,6,8,0
2009,6,9,0
2009,6,10,0
2009,6,11,0
2009,6,12,0
2009,6,13,0
2009,6,14,0
2009,6,15,0
2009,6,16,0
2009,6,17,0
2009,6,18,0
2009,6,19,0
2009,6,20,0
2009,6,21,0
2009,6,22,0
2009,6,23,0
2009,6,24,0
2009,6,25,0
2009,6,26,0
2009,6,27,0
2009,6,28,0
2009,6,29,0
2009,6,30,0
2009,7,1,0
2009,7,2,0
2009,7,3,0
2009,7,4,0
2009,7,5,0
2009,7,6,0
2009,7,7,0
2009,7,8,0
2009,7,9,0
2009,7,10,0
2009,7,11,0
2009,7,12,0
2009,7,13,0
2009,7,14,0
2009,7,15,0
2009,7,16,0
2009,7,17,0
2009,7,18,0
2009,7,19,0
2009,7,20,0
2009,7,21,0
2009,7,22,0
2009,7,23,0
2009,7,24,0
2009,7,25,0
2009,7,26,0
2009,7,27,0
2009,7,28,0
2009,7,29,0
2009,7,30,0
2009,7,31,0
2009,8,1,0
2009,8,2,0
2009,8,3,0
2009,8,4,0
2009,8,5,0
2009,8,6,0
2009,8,7,0
2009,8,8,0
2009,8,9,0
2009,8,10,0
2009,8,11,0
2009,8,12,0
2009,8,13,0
2009,8,14,0
2009,8,15,0
2009,8,16,0
2009,8,17,0
2009,8,18,0
2009,8,19,0
2009,8,20,0
2009,8,21,0
2009,8,22,0
2009,8,23,0
2009,8,24,0
2009,8,25,0
2009,8,26,0
2009,8,27,0
2009,8,28,0
2009,8,29,0
2009,8,30,0
2009,8,31,0
2009,9,1,0
2009,9,2,0
2009,9,3,0
2009,9,4,0
2009,9,5,0
2009,9,6,0
2009,9,7,0
2009,9,8,0
2009,9,9,0
2009,9,10,0
2009,9,11,0
2009,9,12,0
2009,9,13,0
2009,9,14,0
2009,9,15,0
2009,9,16,0
2009,9,17,0
2009,9,18,0
2009,9,19,0
2009,9,20,0
2009,9,21,0
2009,9,22,0
2009,9,23,0
2009,9,24,0
2009,9,25,0
2009,9,26,0
2009,9,27,0
2009,9,28,0
2009,9,29,0
2009,9,30,0
2009,10,1,0
2009,10,2,0
2009,10,3,0
2009,10,4,0
2009,10,5,0
2009,10,6,0
2009,10,7,0
2009,10,8,0
2009,10,9,0
2009,10,10,0
2009,10,11,1
2009,10,12,0
2009,10,13,0
2009,10,14,0
2009,10,15,0
2009,10,16,0
2009,10,17,0
2009,10,18,0
2009,10,19,0
2009,10,20,0
2009,10,21,0
2009,10,22,0
2009,10,23,0
2009,10,24,1
2009,10,25,0
2009,10,26,0
2009,10,27,1
2009,10,28,1
2009,10,29,1
2009,10,30,0
2009,10,31,0
2009,11,1,0
2009,11,2,0
2009,11,3,0
2009,11,4,0
2009,11,5,0
2009,11,6,0
2009,11,7,0
2009,11,8,0
2009,11,9,0
2009,11,10,0
2009,11,11,0
2009,11,12,0
2009,11,13,0
2009,11,14,0
2009,11,15,0
2009,11,16,0
2009,11,17,0
2009,11,18,0
2009,11,19,0
2009,11,20,0
2009,11,21,0
2009,11,22,0
2009,11,23,0
2009,11,24,0
2009,11,25,0
2009,11,26,0
2009,11,27,0
2009,11,28,0
2009,11,29,0
2009,11,30,0
2009,12,1,1
2009,12,2,1
2009,12,3,1
2009,12,4,1
2009,12,5,1
2009,12,6,1
2009,12,7,1
2009,12,8,1
2009,12,9,1
2009,12,10,1
2009,12,11,1
2009,12,12,1
2009,12,13,1
2009,12,14,1
2009,12,15,1
2009,12,16,1
2009,12,17,1
2009,12,18,1
2009,12,19,1
2009,12,20,1
2009,12,21,1
2009,12,22,1
2009,12,23,1
2009,12,24,1
2009,12,25,1
2009,12,26,1
2009,12,27,1
2009,12,28,1
2009,12,29,1
2009,12,30,1
2009,12,31,1
2010,1,1,1
2010,1,2,1
2010,1,3,1
2010,1,4,1
2010,1,5,1
2010,1,6,1
2010,1,7,1
2010,1,8,1
2010,1,9,1
2010,1,10,1
2010,1,11,1
2010,1,12,1
2010,1,13,1
2010,1,14,1
2010,1,15,1
2010,1,16,1
2010,1,17,1
2010,1,18,1
2010,1,19,1
2010,1,20,1
2010,1,21,1
2010,1,22,1
2010,1,23,1
2010,1,24,1
2010,1,25,1
2010,1,26,1
2010,1,27,1
2010,1,28,1
2010,1,29,1
2010,1,30,1
2010,1,31,1
2010,2,1,1
2010,2,2,1
2010,2,3,1
2010,2,4,1
2010,2,5,1
2010,2,6,1
2010,2,7,1
2010,2,8,1
2010,2,9,1
2010,2,10,1
2010,2,11,1
2010,2,12,1
2010,2,13,1
2010,2,14,1
2010,2,15,1
2010,2,16,1
2010,2,17,1
2010,2,18,1
2010,2,19,1
2010,2,20,1
2010,2,21,1
2010,2,22,1
2010,2,23,1
2010,2,24,1
2010,2,25,1
2010,2,26,1
2010,2,27,1
2010,2,28,1
2010,3,1,0
2010,3,2,0
2010,3,3,0
2010,3,4,0
2010,3,5,0
2010,3,6,0
2010,3,7,0
2010,3,8,0
2010,3,9,0
2010,3,10,0
2010,3,11,0
2010,3,12,0
2010,3,13,0
2010,3,14,0
2010,3,15,0
2010,3,16,0
2010,3,17,0
2010,3,18,0
2010,3,19,0
2010,3,20,0
2010,3,21,0
2010,3,22,0
2010,3,23,0
2010,3,24,0
2010,3,25,0
2010,3,26,0
2010,3,27,0
2010,3,28,1
2010,3,29,1
2010,3,30,0
2010,3,31,0
2010,4,1,0
2010,4,2,0
2010,4,3,0
2010,4,4,0
2010,4,5,0
2010,4,6,0
2010,4,7,0
2010,4,8,0
2010,4,9,0
2010,4,10,0
2010,4,11,0
2010,4,12,0
2010,4,13,0
2010,4,14,0
2010,4,15,0
2010,4,16,0
2010,4,17,0
2010,4,18,0
2010,4,19,0
2010,4,20,0
2010,4,21,0
2010,4,22,0
2010,4,23,0
2010,4,24,0
2010,4,25,0
2010,4,26,0
2010,4,27,0
2010,4,28,0
2010,4,29,0
2010,4,30,0
2010,5,1,0
2010,5,2,0
2010,5,3,0
2010,5,4,0
2010,5,5,0
2010,5,6,0
2010,5,7,0
2010,5,8,0
2010,5,9,0
2010,5,10,0
2010,5,11,0
2010,5,12,0
2010,5,13,0
2010,5,14,0
2010,5,15,0
2010,5,16,0
2010,5,17,0
2010,5,18,0
2010,5,19,0
2010,5,20,0
2010,5,21,0
2010,5,22,0
2010,5,23,0
2010,5,24,0
2010,5,25,0
2010,5,26,0
2010,5,27,0
2010,5,28,0
2010,5,29,0
2010,5,30,0
2010,5,31,0
2010,6,1,0
2010,6,2,0
2010,6,3,0
2010,6,4,0
2010,6,5,0
2010,6,6,0
2010,6,7,0
2010,6,8,0
2010,6,9,0
2010,6,10,0
2010,6,11,0
2010,6,12,0
2010,6,13,0
2010,6,14,0
2010,6,15,0
2010,6,16,0
2010,6,17,0
2010,6,18,0
2010,6,19,0
2010,6,20,0
2010,6,21,0
2010,6,22,0
2010,6,23,1
2010,6,24,0
2010,6,25,0
2010,6,26,0
2010,6,27,0
2010,6,28,0
2010,6,29,0
2010,6,30,0
2010,7,1,0
2010,7,2,0
2010,7,3,0
2010,7,4,0
2010,7,5,0
2010,7,6,0
2010,7,7,0
2010,7,8,0
2010,7,9,0
2010,7,10,0
2010,7,11,0
2010,7,12,0
2010,7,13,0
2010,7,14,0
2010,7,15,0
2010,7,16,0
2010,7,17,0
2010,7,18,0
2010,7,19,0
2010,7,20,0
2010,7,21,0
2010,7,22,0
2010,7,23,0
2010,7,24,0
2010,7,25,0
2010,7,26,0
2010,7,27,0
2010,7,28,0
2010,7,29,0
2010,7,30,0
2010,7,31,0
2010,8,1,0
2010,8,2,0
2010,8,3,0
2010,8,4,0
2010,8,5,0
2010,8,6,0
2010,8,7,0
2010,8,8,0
2010,8,9,0
2010,8,10,0
2010,8,11,0
2010,8,12,0
2010,8,13,0
2010,8,14,0
2010,8,15,0
2010,8,16,0
2010,8,17,0
2010,8,18,0
2010,8,19,0
2010,8,20,0
2010,8,21,0
2010,8,22,0
2010,8,23,0
2010,8,24,0
2010,8,25,0
2010,8,26,0
2010,8,27,0
2010,8,28,0
2010,8,29,0
2010,8,30,0
2010,8,31,0
2010,9,1,nan
2010,9,2,nan
2010,9,3,nan
2010,9,4,nan
2010,9,5,nan
2010,9,6,nan
2010,9,7,nan
2010,9,8,nan
2010,9,9,nan
2010,9,10,nan
2010,9,11,nan
2010,9,12,nan
2010,9,13,nan
2010,9,14,nan
2010,9,15,nan
2010,9,16,nan
2010,9,17,nan
2010,9,18,nan
2010,9,19,nan
2010,9,20,nan
2010,9,21,nan
2010,9,22,nan
2010,9,23,nan
2010,9,24,nan
2010,9,25,nan
2010,9,26,nan
2010,9,27,nan
2010,9,28,nan
2010,9,29,nan
2010,9,30,nan
2010,10,1,nan
2010,10,2,nan
2010,10,3,nan
2010,10,4,nan
2010,10,5,nan
2010,10,6,nan
2010,10,7,nan
2010,10,8,nan
2010,10,9,nan
2010,10,10,nan
2010,10,11,nan
2010,10,12,nan
2010,10,13,nan
2010,10,14,nan
2010,10,15,nan
2010,10,16,nan
2010,10,17,nan
2010,10,18,nan
2010,10,19,nan
2010,10,20,1
2010,10,21,0
2010,10,22,1
2010,10,23,0
2010,10,24,0
2010,10,25,0
2010,10,26,0
2010,10,27,0
2010,10,28,0
2010,10,29,0
2010,10,30,0
2010,10,31,0
2010,11,1,0
2010,11,2,0
2010,11,3,0
2010,11,4,1
2010,11,5,1
2010,11,6,1
2010,11,7,1
2010,11,8,1
2010,11,9,1
2010,11,10,0
2010,11,11,0
2010,11,12,0
2010,11,13,0
2010,11,14,0
2010,11,15,0
2010,11,16,0
2010,11,17,1
2010,11,18,1
2010,11,19,1
2010,11,20,1
2010,11,21,1
2010,11,22,1
2010,11,23,1
2010,11,24,1
2010,11,25,1
2010,11,26,1
2010,11,27,1
2010,11,28,1
2010,11,29,1
2010,11,30,1
2010,12,1,0
2010,12,2,0
2010,12,3,1
2010,12,4,1
2010,12,5,1
2010,12,6,1
2010,12,7,1
2010,12,8,1
2010,12,9,1
2010,12,10,1
2010,12,11,1
2010,12,12,1
2010,12,13,1
2010,12,14,1
2010,12,15,1
2010,12,16,1
2010,12,17,1
2010,12,18,1
2010,12,19,1
2010,12,20,1
2010,12,21,1
2010,12,22,1
2010,12,23,1
2010,12,24,1
2010,12,25,1
2010,12,26,1
2010,12,27,1
2010,12,28,1
2010,12,29,1
2010,12,30,1
2010,12,31,1
